Country,Method,Energy.type,IEAMW,Product.Aggregation,Industry.Aggregation,Chopped.Mat,Chopped.Var,GrossNet,Sector,var,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
BEL,PCM,E,Both,Despecified,Despecified,None,None,Gross,Agriculture/forestry,Final,270.9258165,270.5685177,319.3383572,325.7370041,394.6322845,413.3724505,412.2566711,424.3154658,478.6840707,520.9474854,504.7042532,489.4867491,498.670042,512.7515452,457.0324776,455.6029836,451.2633819,563.1869335,614.8224245,700.8530584,548.0817122,476.9529362,472.3860987,436.0137326,400.6130303,396.3236384,483.8504439,467.4292852,602.2989832,580.1118891,525.8263407,583.9972319,750.2294094,817.5180119,1020.544287,1137.075627,1267.130914,1104.119174,988.5773657,914.5916629,812.8116749,775.6355797,653.3737504,843.507758,837.9914275,834.4486606,909.4221404,856.9632933,890.7770033,862.4466513,851.519595,759.7747495,774.9509293,834.9988663,720.7695293,739.3159174,795.0736771,808.6233695,811.4278988,903.9016293
BEL,PCM,E,Both,Despecified,Despecified,None,None,Gross,Agriculture/forestry,Useful,44.25277687,45.24371261,58.29000267,61.11230914,79.79078698,85.776221,86.80327663,91.33229862,107.1879958,119.5554386,116.8742525,114.6420182,119.0364401,124.2008804,111.0001436,111.9918428,112.1327045,143.7050252,159.1620357,184.2863065,143.9112777,125.1619074,125.0310402,115.9668706,106.7168756,106.4566503,132.4154348,128.0330153,167.8962261,162.7852429,148.2454354,167.0372764,217.2145008,239.985163,306.1721359,342.3146347,381.6481326,338.728915,306.4842602,285.5989526,256.9182982,246.3021501,214.3290572,274.5723565,272.5014038,284.6823077,400.6290059,409.5580552,432.3885632,472.0110924,449.7546943,408.0576612,431.8735386,468.6476557,413.7476679,447.932936,481.573486,499.029593,513.8824926,554.1300812
BEL,PCM,E,Both,Despecified,Despecified,None,None,Gross,Agriculture/forestry,eta_fu,0.163339092,0.16721721,0.182533671,0.187612425,0.202190216,0.207503478,0.21055639,0.215246217,0.223922212,0.229496143,0.231569779,0.234208624,0.238707823,0.242224293,0.242871457,0.245810161,0.248486159,0.25516399,0.258874806,0.262945712,0.262572669,0.262419828,0.264679762,0.265970684,0.266383936,0.268610398,0.273670173,0.273908844,0.27875894,0.280610079,0.281928507,0.286024089,0.289530773,0.293553365,0.300008672,0.301048256,0.301190768,0.306786552,0.310025569,0.312269359,0.316085886,0.317548803,0.328034386,0.325512544,0.325183999,0.34116216,0.440531397,0.477917851,0.485406069,0.54729309,0.528178913,0.537077155,0.557291465,0.56125544,0.574036014,0.605874871,0.605696679,0.617134765,0.633306414,0.613042463
BEL,PCM,E,Both,Despecified,Despecified,None,None,Gross,Blast furnaces,Final,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.006397441,1.006802721,1.011268781,1.018345043,1.026156179,2.023928985,1.00122499,185.2686025,201.3218575,146.2375915,160.4216074,160.4095563,159.5478036,167.558295,167.6595577,159.5489068,165.5504077
BEL,PCM,E,Both,Despecified,Despecified,None,None,Gross,Blast furnaces,Useful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423260923,0.424514016,0.427459718,0.432286344,0.437867026,0.898973318,0.431992634,87.02548553,96.57322468,71.375549,76.97938237,77.87550749,75.24319915,79.0623087,79.1415598,76.60568676,79.69803113
BEL,PCM,E,Both,Despecified,Despecified,None,None,Gross,Blast furnaces,eta_fu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.420570349,0.421645678,0.422696444,0.424498894,0.426706027,0.444172362,0.431464095,0.469726032,0.479695677,0.488079353,0.479856695,0.485479228,0.471602852,0.471849565,0.472037269,0.480139214,0.481412473
BEL,PCM,E,Both,Despecified,Despecified,None,None,Gross,Chemical and petrochemical,Final,999,1031,1160,1201,1208,1344,1243,1406,1686,2296,2474,2483,2622,2027,1945,1897,2307,2234,2153,2323,2126,2202,2335,2088,2187,2119,2086,2111,2214,2227,2291,2204,2282,2352,2465,2507,2560,2658,2768,2893,3149,3136,3142,3197,3144,3314,3321,3488,3290,3996,4183,3927,4032,4181,4297,4295,4308,4156,4190,3992
BEL,PCM,E,Both,Despecified,Despecified,None,None,Gross,Chemical and petrochemical,Useful,356.8807152,370.56238,418.7159077,436.1332413,438.1506162,489.6020477,453.9365182,510.1273709,629.0477068,903.3463123,991.3169399,1030.868125,1119.358383,833.0379213,832.8987011,937.7130469,1150.664167,1126.495761,1095.325585,1213.306346,1146.694296,1161.812335,1201.041847,1104.121839,1208.610006,1148.990687,1105.39212,1196.787587,1234.700319,1288.349753,1339.024575,1272.971449,1311.15863,1384.205936,1492.294632,1577.262935,1671.198292,1743.475813,1854.141796,1970.287858,2192.356305,2186.993663,2225.921943,2232.933511,2154.207699,2226.280268,2284.801438,2420.52091,2348.058791,2294.59647,2334.451118,2261.327856,2316.519156,2324.164234,2357.782222,2374.536569,2348.870176,2436.695803,2509.524027,2560.231337
BEL,PCM,E,Both,Despecified,Despecified,None,None,Gross,Chemical and petrochemical,eta_fu,0.357237953,0.359420349,0.360961989,0.36314175,0.362707464,0.364287238,0.365194303,0.362821743,0.373100656,0.393443516,0.400693994,0.415170409,0.426910138,0.410970854,0.428225553,0.494313678,0.49877077,0.504250564,0.508743885,0.522301483,0.539367025,0.527616864,0.514364817,0.528793984,0.552633747,0.542232509,0.529909933,0.566929222,0.557678554,0.578513584,0.584471661,0.577573253,0.57456557,0.588522932,0.60539336,0.629143572,0.652811833,0.655935219,0.669848915,0.681053528,0.696207147,0.697383183,0.708441102,0.698446516,0.685180566,0.671780407,0.68798598,0.693956683,0.713695681,0.574223341,0.558080592,0.575841063,0.574533521,0.555887164,0.548704264,0.552860668,0.545234488,0.586307941,0.598931749,0.641340515
BEL,PCM,E,Both,Despecified,Despecified,None,None,Gross,Coal mines,Final,403,353,355,361,316,299,264,240,202,185,163,161,159,164,149,117,84,186,176,120,100,96,93,89,94,101,95,81,79,76,81,35,32,5.035149385,1.005363036,1.002740978,1.002931323,0,0,1.004197761,0,0,3.015821501,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
BEL,PCM,E,Both,Despecified,Despecified,None,None,Gross,Coal mines,Useful,126.6535379,106.0995022,108.4977201,113.1691394,93.24071289,87.70938928,76.6608861,70.28704926,56.93182045,53.25413885,46.15776102,47.28491003,47.12896889,54.82342131,48.47413975,32.94867947,15.74126908,31.40643446,29.69731522,21.07071046,16.17266555,14.18655853,12.60695633,12.15277143,14.7878821,17.59234424,15.99150786,13.0831096,18.5484649,27.27924087,31.48153403,5.402862139,5.830213282,0.393928302,0.079063704,0.079253021,0.079651933,0,0,0.080915658,0,0,1.351286588,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
BEL,PCM,E,Both,Despecified,Despecified,None,None,Gross,Coal mines,eta_fu,0.314276769,0.300565162,0.305627381,0.313487921,0.295065547,0.293342439,0.290382144,0.292862705,0.281840695,0.28786021,0.283176448,0.293695093,0.296408609,0.334289154,0.325329797,0.281612645,0.18739606,0.168851798,0.168734746,0.175589254,0.161726655,0.147776651,0.13555867,0.136547994,0.157317895,0.174181626,0.168331662,0.161519872,0.234790695,0.35893738,0.388660914,0.15436749,0.182194165,0.078235673,0.078641944,0.079036384,0.07941913,NA,NA,0.080577414,NA,NA,0.448065838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEL,PCM,E,Both,Despecified,Despecified,None,None,Gross,Coke ovens,Final,693,652,641,645,656,653,616,585,621,650,601,556,610,699,731,536,566,541,528,603,550,543,470,460,555,529,471,465,473,456,463,434,421,395.7627417,388.070132,369.0086798,387.1314908,337.7112706,285.1329787,263.0998134,258.072621,270.0133947,309.6243408,279.7784886,262.7755102,262.9298831,198.5772834,221.6497346,151.7946739,91.11147407,161.2337568,156.2497998,139.2262002,126.3320158,109.2790102,93.32041344,92.30756373,90.35545024,91.3141542,91.30355819
BEL,PCM,E,Both,Despecified,Despecified,None,None,Gross,Coke ovens,Useful,339.3102178,322.4887987,319.8890941,324.7047956,334.6400414,335.8780854,319.3565373,306.351828,327.9527708,345.950418,322.2693565,300.4486578,336.2974343,388.0792503,407.0912566,300.3268204,317.8560186,297.2295568,294.1844813,344.7115136,322.0335879,325.0035185,287.2330663,287.5669952,359.7481282,346.6644945,311.5637647,311.6089571,321.3316895,314.2924061,321.5585317,288.4501798,285.0732201,272.9083487,273.6663869,267.71276,279.4499149,240.7132535,213.2273686,192.4356981,206.4317556,216.4196681,233.318439,213.0173973,207.8901703,213.4960004,171.1695307,183.6126155,133.9465725,80.46630131,143.3216188,138.7498551,124.2880391,112.6473276,98.37733201,83.66146963,82.81625092,81.96855571,83.04629747,82.64929747
BEL,PCM,E,Both,Despecified,Despecified,None,None,Gross,Coke ovens,eta_fu,0.489625134,0.494614722,0.499046949,0.503418288,0.510122014,0.51436154,0.518435937,0.523678338,0.528104301,0.532231412,0.536221891,0.540375284,0.551307269,0.55519206,0.556896384,0.560311232,0.561583072,0.549407684,0.557167578,0.571660885,0.585515614,0.598533183,0.611134184,0.625145642,0.648194826,0.655320405,0.661494193,0.670126789,0.679348181,0.689237733,0.694510868,0.664631751,0.677133539,0.689575647,0.705198273,0.725491769,0.721847542,0.712778265,0.74781728,0.731417083,0.799897931,0.801514563,0.753553285,0.761378755,0.791132211,0.811988344,0.861979416,0.828390865,0.882419449,0.883163203,0.888905783,0.88800021,0.89270582,0.8916768,0.900239962,0.896496989,0.897177301,0.907178875,0.909457008,0.90521442
