Country,Method,Energy.type,IEAMW,Product.Aggregation,Industry.Aggregation,Chopped.Mat,Chopped.Var,GrossNet,Sector,var,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
BEL,PCM,X,Both,Despecified,Despecified,None,None,Gross,Agriculture/forestry,Final,280.1658165,280.0485177,331.9983572,339.0570041,412.3322845,432.4524505,431.5166711,444.5354658,502.3840707,547.4074854,530.3842532,514.5667491,524.590042,539.7515452,480.9124776,479.6029836,475.2033819,594.0269335,648.9024245,740.2130584,578.4417122,503.1729362,498.4260987,459.9537326,422.5130303,418.0436384,510.9104439,493.5892852,636.6189832,613.1718891,555.7063407,617.3572319,793.5494094,865.0380119,1080.184287,1203.795627,1341.650914,1167.779174,1045.337366,966.7916629,859.0716749,819.8555797,690.0337504,891.627758,885.6814275,881.1686606,950.3021404,893.5732933,927.4470033,893.5266513,889.369595,792.2447495,809.1809293,873.0688663,753.2595293,770.5559174,828.7636771,843.2333695,844.9678988,941.5216293
BEL,PCM,X,Both,Despecified,Despecified,None,None,Gross,Agriculture/forestry,Useful,44.25277687,45.24371261,58.29000267,61.11230914,79.01752438,85.0029584,86.03001403,90.17240472,104.4815767,116.4623882,113.3945708,111.1623365,114.7834958,119.9479361,106.7471993,107.7388985,107.8797602,139.0654496,154.1358288,178.486837,138.4984395,120.9089631,120.7780959,111.7139263,103.2371939,102.9769686,128.9357531,126.4864901,166.7363322,161.625349,147.0855415,164.3308573,215.2813443,236.8921126,293.7999343,334.1953774,380.87487,336.6621179,304.1413387,283.1678804,253.7166145,243.1923378,201.1245382,261.3186212,258.6464642,255.9044235,265.1179122,245.0616233,254.937501,234.2083461,249.5517521,224.4936489,226.3052126,236.7571123,208.7141983,211.1045117,228.2671169,228.6325692,231.7187049,262.2433511
BEL,PCM,X,Both,Despecified,Despecified,None,None,Gross,Agriculture/forestry,eta_fu,0.157952092,0.161556694,0.175573166,0.18024199,0.191635551,0.196560242,0.199366606,0.202846368,0.207971516,0.212752641,0.213797016,0.216030936,0.21880609,0.222228055,0.221968038,0.224641844,0.227018082,0.234106304,0.237533137,0.241129003,0.2394337,0.240293057,0.242318964,0.242880791,0.244340852,0.246330668,0.252364685,0.256258582,0.261909143,0.263588974,0.264682136,0.266184388,0.271289149,0.27385168,0.271990565,0.277618036,0.283885224,0.28829262,0.290950413,0.292894417,0.295338121,0.296628265,0.291470581,0.293080401,0.292031035,0.290414804,0.278982758,0.274249046,0.274880937,0.2621168,0.280593978,0.28336401,0.279671955,0.27117805,0.277081391,0.27396391,0.27543089,0.271137952,0.274233737,0.278531414
BEL,PCM,X,Both,Despecified,Despecified,None,None,Gross,Blast furnaces,Final,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.066397441,1.066802721,1.071268781,1.078610461,1.08702047,2.144237746,1.06122499,192.634882,209.317486,152.0263141,166.7572859,166.8022526,165.8730233,174.1824655,174.2604107,165.8601151,172.07702
BEL,PCM,X,Both,Despecified,Despecified,None,None,Gross,Blast furnaces,Useful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422291241,0.423499687,0.425767649,0.430060527,0.435634418,0.825292692,0.431784433,73.68936947,81.76187435,60.43229281,65.15111711,65.94769624,63.68645266,66.85029711,66.89243032,64.77085482,67.37124682
BEL,PCM,X,Both,Despecified,Despecified,None,None,Gross,Blast furnaces,eta_fu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.395997988,0.396980322,0.397442412,0.398717185,0.400760087,0.384888613,0.406873601,0.382533883,0.390611773,0.397512057,0.390694276,0.395364542,0.383947018,0.383794643,0.383864758,0.390514952,0.391517977
BEL,PCM,X,Both,Despecified,Despecified,None,None,Gross,Chemical and petrochemical,Final,1044.91,1079.7,1215.68,1257.94,1263.6,1405.9,1298.99,1470.57,1761.48,2395.71,2579.5,2582.88,2723.01,2099.2,2008.67,1879.83,2299.02,2225.82,2143.62,2305.87,2094.03,2187.29,2343.06,2099.46,2212.44,2159.72,2126.68,2144.77,2252.5,2260.93,2311,2214.78,2312.58,2386.91,2501.12,2542.54,2588.2,2690.21,2802.14,2922.19,3173.23,3160.53,3167.42,3224,3169.27,3351.8,3310.36,3481.02,3257.45,3930.74,4069.64,3817.99,3911.47,4079.52,4211.14,4218.88,4232.38,4113.42,4143.33,3930.66
BEL,PCM,X,Both,Despecified,Despecified,None,None,Gross,Chemical and petrochemical,Useful,271.5063733,284.8707434,329.4089352,345.6322221,355.1614994,401.9072756,374.7313387,435.54322,516.6528851,690.0975469,747.5801666,743.1986167,784.6611515,609.3024168,580.8013449,613.4037736,754.7298301,734.4741308,714.3215687,782.6990613,731.4875829,763.1683508,813.497171,724.2087107,764.600158,740.409003,731.0241817,750.0661901,790.9073008,803.2883249,837.2633747,806.9144782,836.7046626,878.9788111,927.3369836,949.8352664,976.4293836,1012.328276,1058.463274,1117.927875,1229.786129,1229.706207,1233.19658,1257.345691,1238.573746,1312.333856,1349.52564,1409.600656,1337.697069,1281.157459,1258.277759,1214.244497,1238.331104,1242.247821,1251.490195,1260.667931,1240.980914,1296.628901,1325.2324,1335.680876
BEL,PCM,X,Both,Despecified,Despecified,None,None,Gross,Chemical and petrochemical,eta_fu,0.25983709,0.263842496,0.270966813,0.274760499,0.281071145,0.28587188,0.288479002,0.296173062,0.293306132,0.288055544,0.28981592,0.287740281,0.288159482,0.290254581,0.289147219,0.32630811,0.328283282,0.329979123,0.333231435,0.339437636,0.349320489,0.348910456,0.34719434,0.344949992,0.345591364,0.342826386,0.343739623,0.349718706,0.351124218,0.355291108,0.36229484,0.364331662,0.361805716,0.368249666,0.370768689,0.373577315,0.377261952,0.376300837,0.377733901,0.382565088,0.387550265,0.389082276,0.389337878,0.389995562,0.390807267,0.391531075,0.407667335,0.404938971,0.410657744,0.325932893,0.309186503,0.318032393,0.316589698,0.30450833,0.297185607,0.298815783,0.293211128,0.315219185,0.319847176,0.33981084
BEL,PCM,X,Both,Despecified,Despecified,None,None,Gross,Coal mines,Final,418.54,365.66,367.84,374.32,326.62,308.84,272.46,247.68,208.06,190.64,167.8,165.92,163.86,169.04,153.16,119.68,85,193.56,183.12,123.9,102.34,98.16,94.86,90.84,96.02,103.2,97.14,82.66,81.2,79.14,84.88,36.14,33.2,5.035149385,1.005363036,1.002740978,1.002931323,0,0,1.004197761,0,0,3.195821501,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
