Country,Method,Energy.type,IEAMW,Product.Aggregation,Industry.Aggregation,Chopped.Mat,Chopped.Var,GrossNet,Year,EX.p,EX.f,EX.u,eta_pf,eta_fu,eta_pu
BEL,PCM,E,IEA,Despecified,Despecified,None,None,Gross,1960,23060,17308,6259.02177263554,0.750563746747615,0.361625940180006,0.271423320582634
BEL,PCM,E,IEA,Despecified,Despecified,None,None,Gross,1961,23608,17810,6412.62333156372,0.754405286343612,0.360057458257368,0.271629249896803
BEL,PCM,E,IEA,Despecified,Despecified,None,None,Gross,1962,25910,19784,7198.92826160591,0.763566190659977,0.363876276870497,0.27784362260154
BEL,PCM,E,IEA,Despecified,Despecified,None,None,Gross,1963,28273,21766,8025.77467069174,0.769851094683974,0.368729884714313,0.28386710539001
BEL,PCM,E,IEA,Despecified,Despecified,None,None,Gross,1964,28339,20980,7768.64777085108,0.740322523730548,0.370288263624933,0.274132741834613
BEL,PCM,E,IEA,Despecified,Despecified,None,None,Gross,1965,29488,22450,8319.13317233999,0.761326641345632,0.370562724825835,0.282119274699538
BEL,PCM,E,IEA,Despecified,Despecified,None,None,Gross,1966,29074,21939,8156.7180986022,0.754591731443902,0.371790788030549,0.280550254474864
BEL,PCM,E,IEA,Despecified,Despecified,None,None,Gross,1967,30497,22937,8533.11035758899,0.752106764599797,0.37202381992366,0.279801631556841
BEL,PCM,E,IEA,Despecified,Despecified,None,None,Gross,1968,34534,26014,9613.30171973518,0.753286616088492,0.369543388934235,0.278372088948143
BEL,PCM,E,IEA,Despecified,Despecified,None,None,Gross,1969,37399,28272,10268.8680574128,0.75595604160539,0.363216895069779,0.27457600624115
BEL,PCM,E,IEA,Despecified,Despecified,None,None,Gross,1970,39927,30711,10971.7826862403,0.769178751220978,0.357259050055038,0.274796069983727
BEL,PCM,E,IEA,Despecified,Despecified,None,None,Gross,1971,39665,30364,10641.710721703,0.765511155930921,0.350471305549435,0.268289694231767
BEL,PCM,E,IEA,Despecified,Despecified,None,None,Gross,1972,43448,32982,11576.0199365765,0.759114343583134,0.350979926522845,0.266433896533246
BEL,PCM,E,IEA,Despecified,Despecified,None,None,Gross,1973,45989,34987,12140.84969,0.760768879514667,0.347010309257726,0.263994644154038
BEL,PCM,E,IEA,Despecified,Despecified,None,None,Gross,1974,45125,33513,11511.0694408503,0.742670360110803,0.343480722133212,0.255092951597791
BEL,PCM,E,IEA,Despecified,Despecified,None,None,Gross,1975,42319,32487,11623.7570008624,0.767669368368818,0.357797180437171,0.274669935510347
BEL,PCM,E,IEA,Despecified,Despecified,None,None,Gross,1976,45385,35022,12025.4539678474,0.771664646909772,0.343368567410411,0.264965384330669
BEL,PCM,E,IEA,Despecified,Despecified,None,None,Gross,1977,45122,35377,12235.5992702469,0.784029963210851,0.345863110785169,0.271167042024886
BEL,PCM,E,IEA,Despecified,Despecified,None,None,Gross,1978,47494,36974,13490.1331496007,0.778498336631996,0.364854577530175,0.284038681719811
BEL,PCM,E,IEA,Despecified,Despecified,None,None,Gross,1979,49019,37840,14081.3198354227,0.771945572125094,0.37212790262745,0.287262486697458
BEL,PCM,E,IEA,Despecified,Despecified,None,None,Gross,1980,46770,35490,13539.8081581697,0.758819756254009,0.381510514459559,0.289497715590544
BEL,PCM,E,IEA,Despecified,Despecified,None,None,Gross,1981,43531,32744,12643.1448854123,0.752199581907147,0.386120965227591,0.290440028609778
