Country,Method,Energy.type,Year,IEAMW,Product.Aggregation,Industry.Aggregation,Chopped.Mat,Chopped.Var,GrossNet,EX.p,EX.f,EX.u,eta_pf,eta_fu,eta_pu
BEL,PCM,X,1960,IEA,Despecified,Despecified,None,None,Gross,24025.05,18186.6,2639.632001,0.756984897,0.145141588,0.10986999
BEL,PCM,X,1961,IEA,Despecified,Despecified,None,None,Gross,24545.48,18711.06,2785.172692,0.762301654,0.148851679,0.113469881
BEL,PCM,X,1962,IEA,Despecified,Despecified,None,None,Gross,26951.98,20786.9,3220.672973,0.77125688,0.154937628,0.119496711
BEL,PCM,X,1963,IEA,Despecified,Despecified,None,None,Gross,29249.35,22863.09,3540.538305,0.781661473,0.154858259,0.121046735
BEL,PCM,X,1964,IEA,Despecified,Despecified,None,None,Gross,29243.78,22035.01,3843.440411,0.753493905,0.174424264,0.13142762
BEL,PCM,X,1965,IEA,Despecified,Despecified,None,None,Gross,30318.45,23585.72,4394.301096,0.777932909,0.186311933,0.144938184
BEL,PCM,X,1966,IEA,Despecified,Despecified,None,None,Gross,29816.48,23029.98,4290.508576,0.772390973,0.186301012,0.14389722
BEL,PCM,X,1967,IEA,Despecified,Despecified,None,None,Gross,31283.85,24087.93,4631.96721,0.769979718,0.192294116,0.148062569
BEL,PCM,X,1968,IEA,Despecified,Despecified,None,None,Gross,35222.57,27297.27,5288.332876,0.774993704,0.1937312,0.15014046
BEL,PCM,X,1969,IEA,Despecified,Despecified,None,None,Gross,37876.58,29625.2,5863.848251,0.78215087,0.19793447,0.154814618
BEL,PCM,X,1970,IEA,Despecified,Despecified,None,None,Gross,40412.29,32164.83,6491.24619,0.795917034,0.201811923,0.160625547
BEL,PCM,X,1971,IEA,Despecified,Despecified,None,None,Gross,41946.93,31768.21,6368.400885,0.757342909,0.20046458,0.151820428
BEL,PCM,X,1972,IEA,Despecified,Despecified,None,None,Gross,45956.02,34496.33,6965.694872,0.750637892,0.201925679,0.151573066
BEL,PCM,X,1973,IEA,Despecified,Despecified,None,None,Gross,48628.84,36443.98,7248.233893,0.749431407,0.198887001,0.149052165
BEL,PCM,X,1974,IEA,Despecified,Despecified,None,None,Gross,47662.48,34841.3,6759.7249,0.731000569,0.194014715,0.141824867
BEL,PCM,X,1975,IEA,Despecified,Despecified,None,None,Gross,44594.63,33804,6530.600751,0.758028489,0.193190177,0.146443658
BEL,PCM,X,1976,IEA,Despecified,Despecified,None,None,Gross,47822.19,36440.59,7291.959703,0.762001698,0.200105424,0.152480673
BEL,PCM,X,1977,IEA,Despecified,Despecified,None,None,Gross,47524.5,36834.83,7376.371285,0.775070332,0.200255337,0.15521197
BEL,PCM,X,1978,IEA,Despecified,Despecified,None,None,Gross,49986.67,38490.19,8073.275607,0.770009084,0.209748915,0.16150857
BEL,PCM,X,1979,IEA,Despecified,Despecified,None,None,Gross,51572.12,39351.09,8165.431699,0.763030296,0.207502046,0.158330348
BEL,PCM,X,1980,IEA,Despecified,Despecified,None,None,Gross,49148.77,36876.51,7593.731317,0.750303822,0.205923264,0.154505012
BEL,PCM,X,1981,IEA,Despecified,Despecified,None,None,Gross,45715.94,34002.18,6858.320838,0.743770772,0.201702386,0.150020339
BEL,PCM,X,1982,IEA,Despecified,Despecified,None,None,Gross,43487.06,32623.13,6618.60094,0.750180169,0.202880623,0.15219702
BEL,PCM,X,1983,IEA,Despecified,Despecified,None,None,Gross,42746.2,31342.89,6273.256934,0.733232194,0.200149282,0.146755897
BEL,PCM,X,1984,IEA,Despecified,Despecified,None,None,Gross,44439.82,32388.76,6524.376998,0.728822934,0.201439543,0.146813758
BEL,PCM,X,1985,IEA,Despecified,Despecified,None,None,Gross,45813.13,33617.04,6667.850717,0.733786144,0.198347348,0.145544535
BEL,PCM,X,1986,IEA,Despecified,Despecified,None,None,Gross,47505.42,34877.7,7210.938726,0.734183594,0.206749262,0.151791916
BEL,PCM,X,1987,IEA,Despecified,Despecified,None,None,Gross,48522.28,35052,7185.820754,0.722389797,0.205004586,0.148093221
BEL,PCM,X,1988,IEA,Despecified,Despecified,None,None,Gross,49152.72,35320.25,7355.874185,0.7185818,0.208262234,0.149653451
BEL,PCM,X,1989,IEA,Despecified,Despecified,None,None,Gross,49671.09,35550.14,7396.915058,0.715710889,0.208069928,0.148917913
BEL,PCM,X,1990,IEA,Despecified,Despecified,None,None,Gross,49902.86,35904.26,7606.2918,0.719483012,0.211849285,0.152421961
BEL,PCM,X,1991,IEA,Despecified,Despecified,None,None,Gross,52156.61,37984.32,8153.248345,0.728274326,0.214647737,0.156322436
BEL,PCM,X,1992,IEA,Despecified,Despecified,None,None,Gross,52795.61,38344.42,8292.185862,0.726280462,0.216255347,0.157062033
BEL,PCM,X,1993,IEA,Despecified,Despecified,None,None,Gross,51463.26,37801.44,8138.038832,0.734532558,0.215283831,0.158132983
BEL,PCM,X,1994,IEA,Despecified,Despecified,None,None,Gross,54634.43,41033.72,8546.979668,0.751059726,0.208291612,0.156439441
BEL,PCM,X,1995,IEA,Despecified,Despecified,None,None,Gross,55521.98,41591.27,8690.731023,0.749095583,0.208955654,0.156527758
BEL,PCM,X,1996,IEA,Despecified,Despecified,None,None,Gross,58450.86,44236.74,9319.442519,0.756819318,0.210672001,0.15944064
BEL,PCM,X,1997,IEA,Despecified,Despecified,None,None,Gross,58637.44,43815.65,9474.926897,0.747229927,0.216245266,0.161584934
BEL,PCM,X,1998,IEA,Despecified,Despecified,None,None,Gross,59748.95,44284.61,9747.215188,0.741178046,0.220103896,0.163136175
BEL,PCM,X,1999,IEA,Despecified,Despecified,None,None,Gross,59698.01,44356.08,9723.710193,0.743007681,0.219219331,0.162881647
BEL,PCM,X,2000,IEA,Despecified,Despecified,None,None,Gross,60391.77,45677.91,9929.489167,0.756359848,0.217380549,0.164417919
BEL,PCM,X,2001,IEA,Despecified,Despecified,None,None,Gross,59935.88,46681.38,10292.30374,0.778855337,0.220479852,0.171721909
BEL,PCM,X,2002,IEA,Despecified,Despecified,None,None,Gross,57969.25,44526.32,9486.624394,0.768102399,0.213056556,0.163649252
BEL,PCM,X,2003,IEA,Despecified,Despecified,None,None,Gross,60602.15,45822.86,10085.19959,0.756125979,0.220091011,0.166416531
BEL,PCM,X,2004,IEA,Despecified,Despecified,None,None,Gross,60742.62,46378.15,10098.01934,0.763519091,0.217732258,0.166242736
BEL,PCM,X,2005,IEA,Despecified,Despecified,None,None,Gross,60362.44,45606.16,9867.338792,0.755538709,0.216359781,0.16346819
BEL,PCM,X,2006,IEA,Despecified,Despecified,None,None,Gross,59618.1,45192.28,9911.719943,0.758029525,0.219323299,0.166253536
BEL,PCM,X,2007,IEA,Despecified,Despecified,None,None,Gross,58527.7,44265.52,9553.062771,0.756317436,0.215812731,0.163222932
BEL,PCM,X,2008,IEA,Despecified,Despecified,None,None,Gross,60337.34,46549.07,10012.84479,0.771480314,0.215103004,0.165947733
BEL,PCM,X,2009,IEA,Despecified,Despecified,None,None,Gross,57958.9,43204.37,9137.630054,0.745431159,0.21149782,0.157657065
BEL,PCM,X,2010,IEA,Despecified,Despecified,None,None,Gross,62599.65,46696.53,9747.528561,0.745955129,0.208742032,0.155712189
BEL,PCM,X,2011,IEA,Despecified,Despecified,None,None,Gross,58154.02,43283.75,9177.391612,0.744295063,0.21202857,0.157811818
BEL,PCM,X,2012,IEA,Despecified,Despecified,None,None,Gross,55807.3,43741.82,9140.161185,0.783801044,0.208957039,0.163780745
BEL,PCM,X,2013,IEA,Despecified,Despecified,None,None,Gross,58018.4,45443.05,9445.973378,0.783252382,0.207863983,0.16280996
BEL,PCM,X,2014,IEA,Despecified,Despecified,None,None,Gross,54756.14,43555.38,9022.176956,0.795442849,0.207142653,0.164770142
BEL,PCM,X,2015,IEA,Despecified,Despecified,None,None,Gross,54676.82,44803.76,9438.16595,0.819428782,0.210655667,0.172617317
BEL,PCM,X,2016,IEA,Despecified,Despecified,None,None,Gross,57802.41,45213.65,9460.266089,0.782210465,0.209234735,0.1636656
BEL,PCM,X,2017,IEA,Despecified,Despecified,None,None,Gross,57526.36,44814.47,9478.456607,0.779024955,0.211504378,0.164767189
